Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
COL4A1,CD93,Col4a1,Cd93
COL4A1,ITGAV,Col4a1,Itgav
COL4A2,CD93,Col4a2,Cd93
COL4A3,CD47,Col4a3,Cd47
COL4A3,CD93,Col4a3,Cd93
COL4A3,ITGAV,Col4a3,Itgav
COL4A4,CD93,Col4a4,Cd93
COL4A5,CD93,Col4a5,Cd93
COL4A6,CD93,Col4a6,Cd93
COL5A1,SDC3,Col5a1,Sdc3
COL5A2,DDR1,Col5a2,Ddr1
COL8A1,ITGA1,Col8a1,Itga1
COL8A1,ITGA2,Col8a1,Itga2
COL9A1,MAG,Col9a1,Mag
COL9A2,MAG,Col9a2,Mag
COL9A3,MAG,Col9a3,Mag
COLQ,MUSK,Colq,Musk
CPAMD8,SCTR,Cpamd8,Sctr
CP,SLC40A1,Cp,Slc40a1
CRP,OLR1,Crp,Olr1
CSF2,IL3RA,Csf2,Il3ra
CSF2,SDC2,Csf2,Sdc2
CTGF,ERBB4,Ctgf,Erbb4
CTGF,ITGA5,Ctgf,Itga5
CTGF,LRP1,Ctgf,Lrp1
CTGF,NTRK1,Ctgf,Ntrk1
CTHRC1,FZD3,Cthrc1,Fzd3
CTHRC1,FZD5,Cthrc1,Fzd5
CTHRC1,FZD6,Cthrc1,Fzd6
CUBN,LRP2,Cubn,Lrp2
CXCL10,SDC4,Cxcl10,Sdc4
CXCL12,CD4,Cxcl12,Cd4
CXCL12,ITGB1,Cxcl12,Itgb1
CXCL13,ACKR4,Cxcl13,Ackr4
CXCL13,CCR10,Cxcl13,Ccr10
CXCL13,CXCR3,Cxcl13,Cxcr3
CXCL5,DARC,Cxcl5,Darc
CYR61,ITGAV,Cyr61,Itgav
CYR61,ITGB5,Cyr61,Itgb5
DCN,EGFR,Dcn,Egfr
DCN,ERBB4,Dcn,Erbb4
DCN,MET,Dcn,Met
DEFB103A,CCR6,Defb103a,Ccr6
DEFB103B,CCR2,Defb103b,Ccr2
DEFB103B,CCR6,Defb103b,Ccr6
DEFB1,CCR6,Defb1,Ccr6
DEFB4A,TLR4,Defb4a,Tlr4
DHH,BOC,Dhh,Boc
DHH,CDON,Dhh,Cdon
DHH,PTCH1,Dhh,Ptch1
DKK1,LRP5,Dkk1,Lrp5
DKK2,KREMEN2,Dkk2,Kremen2
DLK2,NOTCH1,Dlk2,Notch1
EBI3,IL27RA,Ebi3,Il27ra
EDIL3,ITGAV,Edil3,Itgav
EDN1,EDNRB,Edn1,Ednrb
EDN1,KEL,Edn1,Kel
EDN2,EDNRB,Edn2,Ednrb
EDN2,KEL,Edn2,Kel
EDN3,EDNRA,Edn3,Ednra
EDN3,KEL,Edn3,Kel
EFEMP1,EGFR,Efemp1,Egfr
EFEMP2,AQP1,Efemp2,Aqp1
EFEMP2,CATSPER1,Efemp2,Catsper1
EFEMP2,LINGO1,Efemp2,Lingo1
EFEMP2,PLSCR4,Efemp2,Plscr4
EFNA1,EPHB1,Efna1,Ephb1
EFNA5,EPHB1,Efna5,Ephb1
EFNA5,EPHB6,Efna5,Ephb6
EFNB1,ERBB2,Efnb1,Erbb2
EFNB2,EPHA3,Efnb2,Epha3
EFNB2,EPHA6,Efnb2,Epha6
EFNB2,GRM1,Efnb2,Grm1
EFNB2,GRM5,Efnb2,Grm5
EFNB2,PECAM1,Efnb2,Pecam1
EFNB2,RHBDL2,Efnb2,Rhbdl2
EFNB3,RHBDL2,Efnb3,Rhbdl2
EGF,ERBB2,Egf,Erbb2
EGF,ERBB3,Egf,Erbb3
EGF,ERBB4,Egf,Erbb4
F10,F3,F10,F3
F11,GP1BA,F11,Gp1ba
F12,CD93,F12,Cd93
F12,GP1BA,F12,Gp1ba
F13A1,ITGA4,F13a1,Itga4
F13A1,ITGA9,F13a1,Itga9
F13A1,ITGB1,F13a1,Itgb1
F2,GP1BA,F2,Gp1ba
F2,GP9,F2,Gp9
F2,ITGA2B,F2,Itga2b
F2,THBD,F2,Thbd
F8,ASGR2,F8,Asgr2
F8,LDLR,F8,Ldlr
FAT4,DCHS1,Fat4,Dchs1
FBLN1,ITGB1,Fbln1,Itgb1
FBLN2,ITGB3,Fbln2,Itgb3
FBN1,ITGA5,Fbn1,Itga5
FBN1,ITGAV,Fbn1,Itgav
FBN1,ITGB1,Fbn1,Itgb1
FBN1,ITGB3,Fbn1,Itgb3
FCN2,LRP1,Fcn2,Lrp1
FGA,CDH5,Fga,Cdh5
FGA,ITGA2B,Fga,Itga2b
FGA,ITGA5,Fga,Itga5
FGA,ITGAM,Fga,Itgam
FGA,ITGAV,Fga,Itgav
FGA,ITGB1,Fga,Itgb1
FGA,ITGB3,Fga,Itgb3
FGB,ITGA2B,Fgb,Itga2b
FGB,ITGA5,Fgb,Itga5
FGB,ITGAM,Fgb,Itgam
FGB,ITGAV,Fgb,Itgav
FGB,ITGB1,Fgb,Itgb1
FGB,ITGB2,Fgb,Itgb2
FGF13,SCN5A,Fgf13,Scn5a
FGF13,SCN8A,Fgf13,Scn8a
FGF19,KLB,Fgf19,Klb
FGF1,NRP1,Fgf1,Nrp1
FGF20,FGFR4,Fgf20,Fgfr4
FGF21,FGFR4,Fgf21,Fgfr4
FGF23,FGFR3,Fgf23,Fgfr3
FGF23,PHEX,Fgf23,Phex
FGF2,CD44,Fgf2,Cd44
FGF2,FGFRL1,Fgf2,Fgfrl1
FGF2,GPC4,Fgf2,Gpc4
FGF2,NRP1,Fgf2,Nrp1
FGF2,SDC1,Fgf2,Sdc1
FGF2,SDC3,Fgf2,Sdc3
FGF3,FGFR3,Fgf3,Fgfr3
FGF3,FGFR4,Fgf3,Fgfr4
FGF4,NRP1,Fgf4,Nrp1
FGF6,FGFR3,Fgf6,Fgfr3
FGF7,FGFR1,Fgf7,Fgfr1
FGF7,FGFR3,Fgf7,Fgfr3
FGF7,FGFR4,Fgf7,Fgfr4
FGF7,NRP1,Fgf7,Nrp1
FGG,ITGA2B,Fgg,Itga2b
FGG,ITGA5,Fgg,Itga5
FGG,ITGAV,Fgg,Itgav
FGG,ITGB1,Fgg,Itgb1
FGG,ITGB2,Fgg,Itgb2
FGL1,EGFR,Fgl1,Egfr
FIGF,ITGA9,Figf,Itga9
FN1,CD44,Fn1,Cd44
FN1,COL13A1,Fn1,Col13a1
FN1,ITGA3,Fn1,Itga3
FN1,ITGA9,Fn1,Itga9
FN1,ITGAV,Fn1,Itgav
FN1,ITGB7,Fn1,Itgb7
FN1,MAG,Fn1,Mag
FN1,NT5E,Fn1,Nt5e
FN1,PLAUR,Fn1,Plaur
FN1,TMPRSS6,Fn1,Tmprss6
FN1,TNFRSF11B,Fn1,Tnfrsf11b
FN1,TSHR,Fn1,Tshr
GAL,GPR151,Gal,Gpr151
GDF2,ACVR1,Gdf2,Acvr1
GDF2,ACVR2A,Gdf2,Acvr2a
GDF2,ACVR2B,Gdf2,Acvr2b
GDF2,BMPR2,Gdf2,Bmpr2
GDF2,ENG,Gdf2,Eng
GDF5,ACVR1,Gdf5,Acvr1
GDF5,ACVR2A,Gdf5,Acvr2a
GDF5,ACVR2B,Gdf5,Acvr2b
GDF5,BMPR1A,Gdf5,Bmpr1a
GDF6,BMPR1B,Gdf6,Bmpr1b
GDF9,ACVR2A,Gdf9,Acvr2a
GDF9,BMPR1A,Gdf9,Bmpr1a
GDF9,BMPR1B,Gdf9,Bmpr1b
GDF9,FXYD6,Gdf9,Fxyd6
GDF9,ORAI2,Gdf9,Orai2
GH1,PRLR,Gh1,Prlr
GHRL,GHRHR,Ghrl,Ghrhr
GHRL,MLNR,Ghrl,Mlnr
GIP,DPP4,Gip,Dpp4
GNAI2,ADCY1,Gnai2,Adcy1
GNAI2,ADORA1,Gnai2,Adora1
GNAI2,ADRA2A,Gnai2,Adra2a
GNAI2,ADRA2B,Gnai2,Adra2b
GNAI2,AGTR2,Gnai2,Agtr2
GNAI2,C5AR1,Gnai2,C5ar1
GNAI2,CAV1,Gnai2,Cav1
GNAI2,CCR5,Gnai2,Ccr5
GNAI2,CHRM1,Gnai2,Chrm1
GNAI2,CNR1,Gnai2,Cnr1
GNAI2,CXCR1,Gnai2,Cxcr1
GNAI2,CXCR2,Gnai2,Cxcr2
GNAI2,DRD2,Gnai2,Drd2
GNAI2,EDNRA,Gnai2,Ednra
GNAI2,EGFR,Gnai2,Egfr
GNAI2,F2R,Gnai2,F2r
GNAI2,FPR1,Gnai2,Fpr1
GNAI2,IGF1R,Gnai2,Igf1r
GNAI2,LHCGR,Gnai2,Lhcgr
GNAI2,LPAR3,Gnai2,Lpar3
GNAI2,MTNR1A,Gnai2,Mtnr1a
GNAI2,MTNR1B,Gnai2,Mtnr1b
GNAI2,OPRD1,Gnai2,Oprd1
GNAI2,OPRM1,Gnai2,Oprm1
GNAI2,P2RY12,Gnai2,P2ry12
GNAI2,PTPRU,Gnai2,Ptpru
GNAI2,TBXA2R,Gnai2,Tbxa2r
GNAI2,TSHR,Gnai2,Tshr
GNAS,ADORA1,Gnas,Adora1
GNAS,ADRB3,Gnas,Adrb3
GNAS,AVPR2,Gnas,Avpr2
GNAS,CRHR1,Gnas,Crhr1
GNAS,GCGR,Gnas,Gcgr
GNAS,HTR6,Gnas,Htr6
GNAS,LHCGR,Gnas,Lhcgr
GNAS,PTGDR,Gnas,Ptgdr
GNAS,PTGIR,Gnas,Ptgir
GNAS,TSHR,Gnas,Tshr
GNAS,VIPR1,Gnas,Vipr1
GNB3,TGFBR1,Gnb3,Tgfbr1
GPC3,CD81,Gpc3,Cd81
GPC3,IGF1R,Gpc3,Igf1r
GRP,BRS3,Grp,Brs3
GRP,NMBR,Grp,Nmbr
GUCA2B,GUCY2D,Guca2b,Gucy2d
GZMB,CHRM3,Gzmb,Chrm3
HBEGF,CD44,Hbegf,Cd44
HBEGF,CD82,Hbegf,Cd82
HBEGF,CD9,Hbegf,Cd9
HBEGF,ERBB2,Hbegf,Erbb2
HCRT,NPFFR2,Hcrt,Npffr2
HGF,CD44,Hgf,Cd44
HGF,SDC1,Hgf,Sdc1
HGF,SDC2,Hgf,Sdc2
HGF,ST14,Hgf,St14
HLA-A,APLP2,Hla-a,Aplp2
HLA-A,ERBB2,Hla-a,Erbb2
HLA-A,KIR3DL1,Hla-a,Kir3dl1
HLA-A,LILRB1,Hla-a,Lilrb1
HLA-A,LILRB2,Hla-a,Lilrb2
HLA-B,CANX,Hla-b,Canx
HLA-B,KLRD1,Hla-b,Klrd1
HLA-B,LILRB1,Hla-b,Lilrb1
HLA-B,LILRB2,Hla-b,Lilrb2
HLA-C,LILRA3,Hla-c,Lilra3
HLA-C,LILRB1,Hla-c,Lilrb1
HLA-C,LILRB2,Hla-c,Lilrb2
HLA-G,LILRB2,Hla-g,Lilrb2
HMGB1,SDC1,Hmgb1,Sdc1
HMGB1,THBD,Hmgb1,Thbd
HP,ITGAM,Hp,Itgam
HP,ITGB2,Hp,Itgb2
HRAS,AGTR1,Hras,Agtr1
HRAS,CAV1,Hras,Cav1
HRAS,GRIN2D,Hras,Grin2d
HRAS,INSR,Hras,Insr
HRAS,TLR2,Hras,Tlr2
HRAS,TLR9,Hras,Tlr9
HRG,FCGR1A,Hrg,Fcgr1a
HSP90AA1,CFTR,Hsp90aa1,Cftr
HSP90AA1,EGFR,Hsp90aa1,Egfr
HSP90AA1,FGFR3,Hsp90aa1,Fgfr3
HSPG2,COL13A1,Hspg2,Col13a1
HSPG2,ITGA2,Hspg2,Itga2
HSPG2,ITGB1,Hspg2,Itgb1
IAPP,RAMP1,Iapp,Ramp1
IAPP,RAMP2,Iapp,Ramp2
ICAM1,EGFR,Icam1,Egfr
ICAM1,IL2RA,Icam1,Il2ra
ICAM1,IL2RG,Icam1,Il2rg
ICAM1,ITGAM,Icam1,Itgam
ICAM2,ITGAM,Icam2,Itgam
ICAM3,CLEC4M,Icam3,Clec4m
ICAM3,ITGAD,Icam3,Itgad
ICAM4,ITGA4,Icam4,Itga4
ICAM4,ITGB1,Icam4,Itgb1
ICAM4,RHAG,Icam4,Rhag
IGFBP4,FZD8,Igfbp4,Fzd8
IGFBP4,LRP6,Igfbp4,Lrp6
IGFL1,IGFLR1,Igfl1,Igflr1
IGFL2,IGFLR1,Igfl2,Igflr1
IGFL3,IGFLR1,Igfl3,Igflr1
IHH,BOC,Ihh,Boc
IHH,CDON,Ihh,Cdon
IHH,PTCH2,Ihh,Ptch2
IL12A,CD28,Il12a,Cd28
IL12B,IL23R,Il12b,Il23r
IL15,IL2RA,Il15,Il2ra
IL16,GRIN2C,Il16,Grin2c
IL16,GRIN2D,Il16,Grin2d
IL16,KCNA3,Il16,Kcna3
IL16,KCND1,Il16,Kcnd1
IL16,KCND2,Il16,Kcnd2
IL16,KCNJ10,Il16,Kcnj10
IL16,KCNJ15,Il16,Kcnj15
IL16,KCNJ4,Il16,Kcnj4
IL17A,IL17RC,Il17a,Il17rc
IL17F,IL17RA,Il17f,Il17ra
IL18,IL1RL2,Il18,Il1rl2
IL1A,IL1RAP,Il1a,Il1rap
IL1B,ADRB2,Il1b,Adrb2
IL1F10,IL1R1,Il1f10,Il1r1
IL22,IL10RB,Il22,Il10rb
IL27,IL27RA,Il27,Il27ra
IL2,CD53,Il2,Cd53
IL2,NGFR,Il2,Ngfr
IL34,CSF1R,Il34,Csf1r
IL4,CD53,Il4,Cd53
IL4,IL13RA2,Il4,Il13ra2
IL8,SDC1,Il8,Sdc1
IL8,SDC2,Il8,Sdc2
INHBA,ENG,Inhba,Eng
INHBA,TGFBR3,Inhba,Tgfbr3
INHBB,ACVR1C,Inhbb,Acvr1c
INS,IGF1R,Ins,Igf1r
INS,LRP2,Ins,Lrp2
ITGB3BP,ITGB3,Itgb3bp,Itgb3
ITGB3BP,ITGB5,Itgb3bp,Itgb5
ITIH2,FCER1A,Itih2,Fcer1a
KAL1,FGFR1,Kal1,Fgfr1
KAL1,SDC2,Kal1,Sdc2
KISS1,MMP24,Kiss1,Mmp24
KITLG,EPOR,Kitlg,Epor
KLK3,EPOR,Klk3,Epor
KNG1,CD93,Kng1,Cd93
KNG1,GP1BA,Kng1,Gp1ba
KNG1,ITGB2,Kng1,Itgb2
KNG1,PLAUR,Kng1,Plaur
KNG1,RXFP4,Kng1,Rxfp4
KRTAP4-12,AQP1,Krtap4-12,Aqp1
KRTAP4-12,CATSPER1,Krtap4-12,Catsper1
KRTAP4-12,CLDN2,Krtap4-12,Cldn2
KRTAP4-12,CNTFR,Krtap4-12,Cntfr
KRTAP4-12,LINGO1,Krtap4-12,Lingo1
KRTAP4-12,PDGFRB,Krtap4-12,Pdgfrb
KRTAP4-12,PLSCR4,Krtap4-12,Plscr4
L1CAM,CNTN1,L1cam,Cntn1
L1CAM,EGFR,L1cam,Egfr
L1CAM,ERBB2,L1cam,Erbb2
L1CAM,ERBB3,L1cam,Erbb3
L1CAM,ITGA5,L1cam,Itga5
L1CAM,ITGAV,L1cam,Itgav
LACRT,SDC1,Lacrt,Sdc1
LAMA1,ITGA1,Lama1,Itga1
LAMA1,ITGA2,Lama1,Itga2
LAMA1,NT5E,Lama1,Nt5e
LAMA1,TMPRSS6,Lama1,Tmprss6
LAMA3,SDC2,Lama3,Sdc2
LAMA5,BCAM,Lama5,Bcam
LCN1,LMBR1L,Lcn1,Lmbr1l
LCN2,LRP2,Lcn2,Lrp2
LGALS3BP,ITGB1,Lgals3bp,Itgb1
LIN7C,ABCA1,Lin7c,Abca1
LIN7C,HTR2C,Lin7c,Htr2c
LIPC,LRP1,Lipc,Lrp1
LPA,LRP2,Lpa,Lrp2
LPL,GPIHBP1,Lpl,Gpihbp1
LPL,LRP1,Lpl,Lrp1
LPL,LRP2,Lpl,Lrp2
LPL,SDC1,Lpl,Sdc1
LPL,VLDLR,Lpl,Vldlr
LRP1B,PLAUR,Lrp1b,Plaur
LRPAP1,LDLR,Lrpap1,Ldlr
LRPAP1,LRP2,Lrpap1,Lrp2
LRPAP1,LRP8,Lrpap1,Lrp8
LRPAP1,SORL1,Lrpap1,Sorl1
LRPAP1,SORT1,Lrpap1,Sort1
LRPAP1,VLDLR,Lrpap1,Vldlr
LTBP1,ITGB5,Ltbp1,Itgb5
LTBP3,ITGB5,Ltbp3,Itgb5
LTB,TNFRSF1A,Ltb,Tnfrsf1a
LY86,CD180,Ly86,Cd180
MADCAM1,CD44,Madcam1,Cd44
MATN1,ITGA1,Matn1,Itga1
MATN1,ITGB1,Matn1,Itgb1
MBL2,CALCR,Mbl2,Calcr
MBL2,CD93,Mbl2,Cd93
MDK,LRP1,Mdk,Lrp1
MDK,LRP2,Mdk,Lrp2
MDK,SDC1,Mdk,Sdc1
MDK,SDC3,Mdk,Sdc3
MDK,SDC4,Mdk,Sdc4
MDK,TSPAN1,Mdk,Tspan1
MEPE,PHEX,Mepe,Phex
MFAP2,NOTCH1,Mfap2,Notch1
MFAP5,NOTCH1,Mfap5,Notch1
MFGE8,ITGAV,Mfge8,Itgav
MFGE8,ITGB3,Mfge8,Itgb3
MFGE8,PDGFRB,Mfge8,Pdgfrb
MFNG,NOTCH1,Mfng,Notch1
MFNG,NOTCH2,Mfng,Notch2
MIA,CDH7,Mia,Cdh7
MLLT4,EPHA7,Mllt4,Epha7
MLLT4,EPHB2,Mllt4,Ephb2
MLLT4,EPHB3,Mllt4,Ephb3
MLLT4,EPHB6,Mllt4,Ephb6
MLLT4,F11R,Mllt4,F11r
MLLT4,NRXN2,Mllt4,Nrxn2
MLLT4,NRXN3,Mllt4,Nrxn3
MLLT4,PVRL1,Mllt4,Pvrl1
MLLT4,PVRL2,Mllt4,Pvrl2
MLLT4,PVRL3,Mllt4,Pvrl3
MLLT4,PVRL4,Mllt4,Pvrl4
MMP12,PLAUR,Mmp12,Plaur
MMP1,CD44,Mmp1,Cd44
MMP1,ITGA2,Mmp1,Itga2
MMP2,SDC2,Mmp2,Sdc2
MMP7,CD151,Mmp7,Cd151
MMP7,CD44,Mmp7,Cd44
MMP7,ERBB4,Mmp7,Erbb4
MMP9,CD44,Mmp9,Cd44
MMP9,EPHB2,Mmp9,Ephb2
MSTN,ACVR2B,Mstn,Acvr2b
MUC2,AGR2,Muc2,Agr2
MUC7,SELL,Muc7,Sell
MYOC,FZD1,Myoc,Fzd1
MYOC,FZD10,Myoc,Fzd10
MYOC,FZD3,Myoc,Fzd3
MYOC,FZD4,Myoc,Fzd4
MYOC,FZD7,Myoc,Fzd7
NCAM1,FGFR1,Ncam1,Fgfr1
NCAM1,GFRA1,Ncam1,Gfra1
NGF,SORCS3,Ngf,Sorcs3
NID1,COL13A1,Nid1,Col13a1
NID1,ITGAV,Nid1,Itgav
NID1,ITGB3,Nid1,Itgb3
NID2,COL13A1,Nid2,Col13a1
NLGN1,NRXN2,Nlgn1,Nrxn2
NMB,BRS3,Nmb,Brs3
NPPC,NPR3,Nppc,Npr3
NPY,FAP,Npy,Fap
NPY,MC4R,Npy,Mc4r
NPY,NPFFR2,Npy,Npffr2
NTN1,ADORA2B,Ntn1,Adora2b
NTN1,NEO1,Ntn1,Neo1
NTN1,UNC5A,Ntn1,Unc5a
NTN1,UNC5B,Ntn1,Unc5b
NTN1,UNC5D,Ntn1,Unc5d
NTNG2,LRRC4,Ntng2,Lrrc4
NTS,SORT1,Nts,Sort1
NXPH2,NRXN1,Nxph2,Nrxn1
OBP2A,OR1G1,Obp2a,Or1g1
OLFM2,ROBO2,Olfm2,Robo2
OMG,RTN4R,Omg,Rtn4r
OMG,RTN4RL1,Omg,Rtn4rl1
ORM1,CCR5,Orm1,Ccr5
PCSK9,VLDLR,Pcsk9,Vldlr
PDAP1,PDGFRB,Pdap1,Pdgfrb
PDGFB,ART1,Pdgfb,Art1
PDGFB,LRP1,Pdgfb,Lrp1
PF4,CXCR3,Pf4,Cxcr3
PF4,SDC2,Pf4,Sdc2
PGF,NRP2,Pgf,Nrp2
PIGF,FLT1,Pigf,Flt1
PIP,CD4,Pip,Cd4
PLA2G10,PLA2R1,Pla2g10,Pla2r1
PLAU,IGF2R,Plau,Igf2r
PLAU,LRP2,Plau,Lrp2
PLAU,ST14,Plau,St14
PLG,F2R,Plg,F2r
PLG,F2RL1,Plg,F2rl1
PLG,F3,Plg,F3
PLG,PLGRKT,Plg,Plgrkt
PLTP,ABCA1,Pltp,Abca1
PODXL,SELL,Podxl,Sell
PON2,HTR2A,Pon2,Htr2a
PROC,THBD,Proc,Thbd
PRSS23,TMEM222,Prss23,Tmem222
PSAP,CD1B,Psap,Cd1b
PSAP,CELSR1,Psap,Celsr1
PSEN1,NOTCH1,Psen1,Notch1
PSEN1,NOTCH2,Psen1,Notch2
PSEN1,NOTCH3,Psen1,Notch3
PSEN1,NOTCH4,Psen1,Notch4
PSPN,GFRA1,Pspn,Gfra1
PTGS2,CAV1,Ptgs2,Cav1
PTMA,VIPR1,Ptma,Vipr1
PTN,ALK,Ptn,Alk
PTN,CDH10,Ptn,Cdh10
PTN,PLXNB2,Ptn,Plxnb2
PTN,PTPRS,Ptn,Ptprs
PTN,SDC1,Ptn,Sdc1
PTN,SDC3,Ptn,Sdc3
PYY,FAP,Pyy,Fap
RAET1E,KLRK1,Raet1e,Klrk1
RARRES2,CCRL2,Rarres2,Ccrl2
RBP3,NOTCH1,Rbp3,Notch1
RBP4,STRA6,Rbp4,Stra6
RGMB,NEO1,Rgmb,Neo1
RIMS1,CACNA1C,Rims1,Cacna1c
RIMS2,ABCA1,Rims2,Abca1
RNASE2,TLR2,Rnase2,Tlr2
RPH3A,NRXN1,Rph3a,Nrxn1
RSPO1,ZNRF3,Rspo1,Znrf3
RSPO3,FZD8,Rspo3,Fzd8
RSPO3,LRP6,Rspo3,Lrp6
RSPO3,SDC4,Rspo3,Sdc4
RTN4,CNTNAP1,Rtn4,Cntnap1
S100A8,TLR4,S100a8,Tlr4
S100A9,TLR4,S100a9,Tlr4
SAA1,FPR1,Saa1,Fpr1
SCGB1A1,LMBR1L,Scgb1a1,Lmbr1l
SCGB1A1,LRP2,Scgb1a1,Lrp2
SCGB3A1,MARCO,Scgb3a1,Marco
SCGB3A2,MARCO,Scgb3a2,Marco
SCT,VIPR1,Sct,Vipr1
SCT,VIPR2,Sct,Vipr2
SELPLG,SELL,Selplg,Sell
SEMA3A,NRP2,Sema3a,Nrp2
SEMA3B,NRP2,Sema3b,Nrp2
SEMA3C,NRP1,Sema3c,Nrp1
SEMA3C,PLXND1,Sema3c,Plxnd1
SEMA3D,NRP1,Sema3d,Nrp1
SEMA3F,NRP1,Sema3f,Nrp1
SEMA3G,NRP2,Sema3g,Nrp2
SEMA4A,PLXND1,Sema4a,Plxnd1
SEMA4B,DCBLD2,Sema4b,Dcbld2
SEMA4C,PLXNB2,Sema4c,Plxnb2
SEMA4D,CD72,Sema4d,Cd72
SEMA4D,ERBB2,Sema4d,Erbb2
SEMA4F,NRP2,Sema4f,Nrp2
SEMA4G,PLXNB2,Sema4g,Plxnb2
SEMA6A,PLXNA2,Sema6a,Plxna2
SEMA6A,PLXNA4,Sema6a,Plxna4
SEMA6D,TREM2,Sema6d,Trem2
SEMA6D,TYROBP,Sema6d,Tyrobp
SEMA7A,ITGA1,Sema7a,Itga1
SEMA7A,ITGB1,Sema7a,Itgb1
SERPINA7,SLC16A2,Serpina7,Slc16a2
SERPINC1,SDC2,Serpinc1,Sdc2
SERPINE1,LRP2,Serpine1,Lrp2
SERPING1,SELE,Serping1,Sele
SERPING1,SELP,Serping1,Selp
SFRP1,FZD2,Sfrp1,Fzd2
SFRP1,FZD6,Sfrp1,Fzd6
SFTPA1,TLR2,Sftpa1,Tlr2
SFTPA2,CD93,Sftpa2,Cd93
SHANK1,ABCA1,Shank1,Abca1
SHANK1,BAI2,Shank1,Bai2
SHANK1,LPHN2,Shank1,Lphn2
SHANK1,SSTR2,Shank1,Sstr2
SHBG,CD177,Shbg,Cd177
SHBG,CLDN4,Shbg,Cldn4
SHBG,SLC37A1,Shbg,Slc37a1
SHH,GPC5,Shh,Gpc5
SHH,LRP2,Shh,Lrp2
SHH,PTCH2,Shh,Ptch2
SLIT3,ROBO2,Slit3,Robo2
SORBS1,INSR,Sorbs1,Insr
SPINK1,EGFR,Spink1,Egfr
SPINK1,NRSN1,Spink1,Nrsn1
SPINT1,ST14,Spint1,St14
SPP1,ITGA4,Spp1,Itga4
SPP1,ITGA5,Spp1,Itga5
SPP1,ITGA9,Spp1,Itga9
SPP1,ITGB1,Spp1,Itgb1
SPP1,S1PR1,Spp1,S1pr1
SYTL3,NRXN1,Sytl3,Nrxn1
TAC4,TACR2,Tac4,Tacr2
TCTN1,TMEM67,Tctn1,Tmem67
TDGF1,ACVR1B,Tdgf1,Acvr1b
TDGF1,ACVR1C,Tdgf1,Acvr1c
TF,TFR2,Tf,Tfr2
TGFA,ERBB2,Tgfa,Erbb2
TGFA,ERBB4,Tgfa,Erbb4
TGFB1,ENG,Tgfb1,Eng
TGFB1,ITGAV,Tgfb1,Itgav
TGFB1,ITGB6,Tgfb1,Itgb6
TGFB1,ITGB8,Tgfb1,Itgb8
TGFB1,SDC2,Tgfb1,Sdc2
TGFB2,ENG,Tgfb2,Eng
TGFB3,ENG,Tgfb3,Eng
TGM2,ITGB1,Tgm2,Itgb1
TGM2,ITGB3,Tgm2,Itgb3
TGM2,SDC4,Tgm2,Sdc4
TG,ASGR1,Tg,Asgr1
TG,LRP2,Tg,Lrp2
THBS1,ITGA2B,Thbs1,Itga2b
THBS1,ITGA3,Thbs1,Itga3
THBS1,ITGA4,Thbs1,Itga4
THBS1,ITGA6,Thbs1,Itga6
THBS1,ITGB1,Thbs1,Itgb1
THBS1,ITGB3,Thbs1,Itgb3
THBS1,LRP1,Thbs1,Lrp1
THBS1,LRP5,Thbs1,Lrp5
THBS1,TNFRSF11B,Thbs1,Tnfrsf11b
THBS2,ITGA4,Thbs2,Itga4
THBS2,ITGA6,Thbs2,Itga6
THBS2,ITGB1,Thbs2,Itgb1
THBS2,NOTCH3,Thbs2,Notch3
TIMP1,CD63,Timp1,Cd63
TIMP2,ITGA3,Timp2,Itga3
TIMP2,ITGB1,Timp2,Itgb1
TIMP3,AGTR2,Timp3,Agtr2
TIMP3,KDR,Timp3,Kdr
TNC,CNTN1,Tnc,Cntn1
TNC,EGFR,Tnc,Egfr
TNC,ITGA5,Tnc,Itga5
TNC,ITGA7,Tnc,Itga7
TNC,ITGB1,Tnc,Itgb1
TNC,PTPRB,Tnc,Ptprb
TNFSF13,FAS,Tnfsf13,Fas
TNFSF13,SDC2,Tnfsf13,Sdc2
TNFSF13,TNFRSF11B,Tnfsf13,Tnfrsf11b
TNFSF13,TNFRSF14,Tnfsf13,Tnfrsf14
TNFSF13,TNFRSF1A,Tnfsf13,Tnfrsf1a
TNFSF15,TNFRSF6B,Tnfsf15,Tnfrsf6b
TNFSF4,TRAF2,Tnfsf4,Traf2
TNFSF9,TRAF2,Tnfsf9,Traf2
TNF,TRAF2,Tnf,Traf2
TSLP,IL7R,Tslp,Il7r
UCN2,IL10RB,Ucn2,Il10rb
UCN3,CRHR1,Ucn3,Crhr1
UCN3,IL10RB,Ucn3,Il10rb
VASP,CXCR2,Vasp,Cxcr2
VCAM1,ITGB7,Vcam1,Itgb7
VCAN,CD44,Vcan,Cd44
VCAN,EGFR,Vcan,Egfr
VCAN,ITGA4,Vcan,Itga4
VCAN,ITGB1,Vcan,Itgb1
VCAN,SELP,Vcan,Selp
VCAN,TLR2,Vcan,Tlr2
VEGFA,EPHB2,Vegfa,Ephb2
VEGFA,GPC1,Vegfa,Gpc1
VIM,CD44,Vim,Cd44
VTN,ITGA8,Vtn,Itga8
VTN,ITGAV,Vtn,Itgav
VTN,ITGB6,Vtn,Itgb6
VTN,ITGB8,Vtn,Itgb8
