Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
CXCL12,CXCR3,Cxcl12,Cxcr3
CXCL12,CXCR4,Cxcl12,Cxcr4
CXCL13,CXCR5,Cxcl13,Cxcr5
CXCL16,CXCR6,Cxcl16,Cxcr6
CXCL1,CXCR1,Cxcl1,Cxcr1
CXCL1,CXCR2,Cxcl1,Cxcr2
CXCL1,DARC,Cxcl1,Darc
CXCL2,CXCR1,Cxcl2,Cxcr1
CXCL2,CXCR2,Cxcl2,Cxcr2
CXCL2,XCR1,Cxcl2,Xcr1
CXCL3,CXCR1,Cxcl3,Cxcr1
CXCL3,CXCR2,Cxcl3,Cxcr2
CXCL5,CXCR1,Cxcl5,Cxcr1
CXCL5,CXCR2,Cxcl5,Cxcr2
CXCL6,CXCR1,Cxcl6,Cxcr1
CXCL6,CXCR2,Cxcl6,Cxcr2
CXCL9,CCR3,Cxcl9,Ccr3
CXCL9,CXCR3,Cxcl9,Cxcr3
CYR61,ITGA5,Cyr61,Itga5
CYR61,ITGAM,Cyr61,Itgam
CYR61,ITGB2,Cyr61,Itgb2
CYR61,ITGB3,Cyr61,Itgb3
DEFB4A,CCR6,Defb4a,Ccr6
DEFB4B,CCR6,Defb4b,Ccr6
DHH,HHIP,Dhh,Hhip
DHH,PTCH2,Dhh,Ptch2
DKK1,KREMEN1,Dkk1,Kremen1
DKK1,KREMEN2,Dkk1,Kremen2
DKK1,LRP6,Dkk1,Lrp6
DKK2,LRP6,Dkk2,Lrp6
DLK1,NOTCH1,Dlk1,Notch1
DLL1,NOTCH1,Dll1,Notch1
DLL1,NOTCH2,Dll1,Notch2
DLL1,NOTCH3,Dll1,Notch3
DLL4,NOTCH1,Dll4,Notch1
DLL4,NOTCH2,Dll4,Notch2
DLL4,NOTCH3,Dll4,Notch3
DLL4,NOTCH4,Dll4,Notch4
EDA,EDA2R,Eda,Eda2r
EDA,EDAR,Eda,Edar
EDN1,EDNRA,Edn1,Ednra
EDN2,EDNRA,Edn2,Ednra
EDN3,EDNRB,Edn3,Ednrb
EFNA1,EPHA1,Efna1,Epha1
EFNA1,EPHA2,Efna1,Epha2
EFNA1,EPHA3,Efna1,Epha3
EFNA1,EPHA4,Efna1,Epha4
EFNA1,EPHA5,Efna1,Epha5
EFNA1,EPHA6,Efna1,Epha6
EFNA1,EPHA7,Efna1,Epha7
EFNA1,EPHA8,Efna1,Epha8
EFNA2,EPHA2,Efna2,Epha2
EFNA2,EPHA3,Efna2,Epha3
EFNA2,EPHA4,Efna2,Epha4
EFNA2,EPHA5,Efna2,Epha5
EFNA2,EPHA6,Efna2,Epha6
EFNA2,EPHA7,Efna2,Epha7
EFNA2,EPHA8,Efna2,Epha8
EFNA3,EPHA1,Efna3,Epha1
EFNA3,EPHA2,Efna3,Epha2
EFNA3,EPHA3,Efna3,Epha3
EFNA3,EPHA4,Efna3,Epha4
EFNA3,EPHA5,Efna3,Epha5
EFNA3,EPHA6,Efna3,Epha6
EFNA3,EPHA7,Efna3,Epha7
EFNA3,EPHA8,Efna3,Epha8
EFNA3,EPHB1,Efna3,Ephb1
EFNA4,EPHA2,Efna4,Epha2
EFNA4,EPHA3,Efna4,Epha3
EFNA4,EPHA4,Efna4,Epha4
EFNA4,EPHA5,Efna4,Epha5
EFNA4,EPHA6,Efna4,Epha6
EFNA4,EPHA7,Efna4,Epha7
EFNA4,EPHA8,Efna4,Epha8
EFNA5,EPHA2,Efna5,Epha2
